,index,G1_n_nodes,G1_n_edges,G1_density,G1_avg_degree,G1_max_degree,G1_min_degree,G1_degree_var,G1_degree_entropy,G1_deg_hist_0,G1_deg_hist_1,G1_deg_hist_2,G1_deg_hist_3,G1_deg_hist_4,G1_deg_hist_5,G1_deg_hist_6,G1_avg_clustering,G1_transitivity,G1_n_triangles,G1_n_squares,G1_core_max,G1_core_mean,G1_core_entropy,G1_dist_q10,G1_dist_q50,G1_dist_q90,G1_diameter,G1_avg_shortest_path,G1_assortativity,G1_edge_betw_mean,G1_edge_betw_std,G1_betw_mean,G1_betw_std,G1_close_mean,G1_close_std,G1_lap_eigval_1,G1_lap_eigval_2,G1_lap_eigval_3,G1_lap_eigval_4,G1_lap_eigval_5,G1_lap_eigval_6,G1_lap_eigval_7,G1_lap_eigval_8,G1_lap_eigval_9,G1_lap_eigval_10,G1_adj_eig_1,G1_adj_eig_2,G1_adj_eig_3,G1_adj_eig_4,G1_adj_eig_5,G1_adj_spec_gap,G1_wl_hash,G2_n_nodes,G2_n_edges,G2_density,G2_avg_degree,G2_max_degree,G2_min_degree,G2_degree_var,G2_degree_entropy,G2_deg_hist_0,G2_deg_hist_1,G2_deg_hist_2,G2_deg_hist_3,G2_deg_hist_4,G2_deg_hist_5,G2_deg_hist_6,G2_avg_clustering,G2_transitivity,G2_n_triangles,G2_n_squares,G2_core_max,G2_core_mean,G2_core_entropy,G2_dist_q10,G2_dist_q50,G2_dist_q90,G2_diameter,G2_avg_shortest_path,G2_assortativity,G2_edge_betw_mean,G2_edge_betw_std,G2_betw_mean,G2_betw_std,G2_close_mean,G2_close_std,G2_lap_eigval_1,G2_lap_eigval_2,G2_lap_eigval_3,G2_lap_eigval_4,G2_lap_eigval_5,G2_lap_eigval_6,G2_lap_eigval_7,G2_lap_eigval_8,G2_lap_eigval_9,G2_lap_eigval_10,G2_adj_eig_1,G2_adj_eig_2,G2_adj_eig_3,G2_adj_eig_4,G2_adj_eig_5,G2_adj_spec_gap,G2_wl_hash,diff_n_nodes,diff_n_edges,diff_density,diff_avg_degree,diff_degree_var,diff_degree_entropy,diff_deg_hist_0,diff_deg_hist_1,diff_deg_hist_2,diff_deg_hist_3,diff_deg_hist_4,diff_deg_hist_5,diff_deg_hist_6,diff_avg_clustering,diff_transitivity,diff_n_triangles,diff_n_squares,diff_core_mean,diff_core_entropy,diff_dist_q10,diff_dist_q50,diff_dist_q90,diff_diameter,diff_avg_shortest_path,diff_assortativity,diff_edge_betw_mean,diff_edge_betw_std,diff_betw_mean,diff_betw_std,diff_close_mean,diff_close_std,diff_lap_eigval_1,diff_lap_eigval_2,diff_lap_eigval_3,diff_lap_eigval_4,diff_lap_eigval_5,diff_lap_eigval_6,diff_lap_eigval_7,diff_lap_eigval_8,diff_lap_eigval_9,diff_lap_eigval_10,diff_adj_eig_1,diff_adj_eig_2,diff_adj_eig_3,diff_adj_eig_4,diff_adj_eig_5,diff_adj_spec_gap,ratio_n_nodes,ratio_n_edges,ratio_density,ratio_avg_degree,ratio_degree_var,ratio_degree_entropy,ratio_deg_hist_0,ratio_deg_hist_1,ratio_deg_hist_2,ratio_deg_hist_3,ratio_deg_hist_4,ratio_deg_hist_5,ratio_deg_hist_6,ratio_avg_clustering,ratio_transitivity,ratio_n_triangles,ratio_n_squares,ratio_core_mean,ratio_core_entropy,ratio_dist_q10,ratio_dist_q50,ratio_dist_q90,ratio_diameter,ratio_avg_shortest_path,ratio_assortativity,ratio_edge_betw_mean,ratio_edge_betw_std,ratio_betw_mean,ratio_betw_std,ratio_close_mean,ratio_close_std,ratio_lap_eigval_1,ratio_lap_eigval_2,ratio_lap_eigval_3,ratio_lap_eigval_4,ratio_lap_eigval_5,ratio_lap_eigval_6,ratio_lap_eigval_7,ratio_lap_eigval_8,ratio_lap_eigval_9,ratio_lap_eigval_10,ratio_adj_eig_1,ratio_adj_eig_2,ratio_adj_eig_3,ratio_adj_eig_4,ratio_adj_eig_5,ratio_adj_spec_gap
22,0,10,24,0.5333333333333333,4.8,6,4,0.5599999999999999,1.5219280948873621,0,0,0,0,4,4,2,0.5466666666666666,0.5106382978723404,16,3,4,4.0,-1.4428232973175175e-12,0.9000000000000004,1.0,2.0,3,1.36,-0.15662650602409264,0.06296296296296297,0.012951935344664996,0.06388888888888888,0.046142104339387695,0.666923076923077,0.05856266557130548,1.0315319623804188e-15,0.4743753901374798,0.7999999999999998,0.8104235651970524,1.1149218940641794,1.1999999999999993,1.2500000000000002,1.4350781059358204,1.4395764348029483,1.47562460986252,4.9017996161227675,2.2360679774997894,1.0000000000000009,0.9999999999999987,-0.512246512825713,2.665731638622978,00134cd15f01eebc4f3c7064e59ad51c,6,3,0.2,1.0,1,1,0.0,-0.0,0,6,0,0,0,0,0,0.0,0,0,0,1,1.0,-1.4428232973175175e-12,,,,,,,0.06666666666666667,0.0,0.0,0.0,0.19999999999999998,2.7755575615628914e-17,0.0,0.0,0.0,2.0,2.0,2.0,,,,,1.0,1.0,1.0,-1.0,-1.0,0.0,87224c590a6c623e4385c63f6a5a56ea,4.0,21.0,0.3333333333333333,3.8,0.5599999999999999,1.5219280948873621,0.0,-6.0,0.0,0.0,4.0,4.0,2.0,0.5466666666666666,0.5106382978723404,16.0,3.0,3.0,0.0,,,,,,,-0.003703703703703695,0.012951935344664996,0.06388888888888888,0.046142104339387695,0.466923076923077,0.058562665571305454,1.0315319623804188e-15,0.4743753901374798,0.7999999999999998,-1.1895764348029476,-0.8850781059358206,-0.8000000000000007,,,,,3.9017996161227675,1.2360679774997894,8.881784197001252e-16,1.9999999999999987,0.487753487174287,2.665731638622978,1.666666388888935,7.999997333334222,2.6666533333999993,4.7999952000048,560000.0,1521928.094887362,0.0,0.0,0.0,0.0,4000000.0,4000000.0,2000000.0,546666.6666666666,510638.2978723404,16000000.0,3000000.0,3.9999960000040002,-1.4428253790595884e-06,,,,,,,0.9444302779902747,12951.935344664997,63888.88888888888,46142.1043393877,3.334598711621827,58562.665569680044,1.031531962380419e-09,474375.3901374798,799999.9999999999,0.40521157999273616,0.5574606683017556,0.5999997000001496,,,,,4.901794714328053,2.236065741434048,0.999999000001001,-1.0000010000009987,0.5122470250727381,2665731.6386229782
23,0,10,24,0.5333333333333333,4.8,6,4,0.5599999999999999,1.5219280948873621,0,0,0,0,4,4,2,0.5466666666666666,0.5106382978723404,16,3,4,4.0,-1.4428232973175175e-12,0.9000000000000004,1.0,2.0,3,1.36,-0.15662650602409264,0.06296296296296297,0.012951935344664996,0.06388888888888888,0.046142104339387695,0.666923076923077,0.05856266557130548,1.0315319623804188e-15,0.4743753901374798,0.7999999999999998,0.8104235651970524,1.1149218940641794,1.1999999999999993,1.2500000000000002,1.4350781059358204,1.4395764348029483,1.47562460986252,4.9017996161227675,2.2360679774997894,1.0000000000000009,0.9999999999999987,-0.512246512825713,2.665731638622978,00134cd15f01eebc4f3c7064e59ad51c,6,3,0.2,1.0,1,1,0.0,-0.0,0,6,0,0,0,0,0,0.0,0,0,0,1,1.0,-1.4428232973175175e-12,,,,,,,0.06666666666666667,0.0,0.0,0.0,0.19999999999999998,2.7755575615628914e-17,0.0,0.0,0.0,2.0,2.0,2.0,,,,,1.0,1.0,1.0,-1.0,-1.0,0.0,87224c590a6c623e4385c63f6a5a56ea,4.0,21.0,0.3333333333333333,3.8,0.5599999999999999,1.5219280948873621,0.0,-6.0,0.0,0.0,4.0,4.0,2.0,0.5466666666666666,0.5106382978723404,16.0,3.0,3.0,0.0,,,,,,,-0.003703703703703695,0.012951935344664996,0.06388888888888888,0.046142104339387695,0.466923076923077,0.058562665571305454,1.0315319623804188e-15,0.4743753901374798,0.7999999999999998,-1.1895764348029476,-0.8850781059358206,-0.8000000000000007,,,,,3.9017996161227675,1.2360679774997894,8.881784197001252e-16,1.9999999999999987,0.487753487174287,2.665731638622978,1.666666388888935,7.999997333334222,2.6666533333999993,4.7999952000048,560000.0,1521928.094887362,0.0,0.0,0.0,0.0,4000000.0,4000000.0,2000000.0,546666.6666666666,510638.2978723404,16000000.0,3000000.0,3.9999960000040002,-1.4428253790595884e-06,,,,,,,0.9444302779902747,12951.935344664997,63888.88888888888,46142.1043393877,3.334598711621827,58562.665569680044,1.031531962380419e-09,474375.3901374798,799999.9999999999,0.40521157999273616,0.5574606683017556,0.5999997000001496,,,,,4.901794714328053,2.236065741434048,0.999999000001001,-1.0000010000009987,0.5122470250727381,2665731.6386229782
24,0,10,22,0.4888888888888889,4.4,5,4,0.24,0.9709505944546686,0,0,0,0,6,4,0,0.49333333333333335,0.47368421052631576,12,2,4,4.0,-1.4428232973175175e-12,0.9000000000000004,1.0,2.0,3,1.4,-0.09999999999999391,0.0707070707070707,0.01830255814488604,0.06944444444444443,0.03848785864049345,0.6454945054945054,0.04130231146382196,2.0433411346815583e-16,0.45155056254610837,0.6283173946027657,0.8843616912701301,1.1595634561151553,1.2287341243119845,1.2499999999999998,1.3356230152079833,1.5085867898151204,1.5532629661307524,4.45567963765722,2.249333576656451,1.6751308705666468,0.5391888728108893,-0.6924782144405647,2.2063460610007692,5e39ecb96bb5280be0c91f9e84b514a7,4,2,0.3333333333333333,1.0,1,1,0.0,-0.0,0,4,0,0,0,0,0,0.0,0,0,0,1,1.0,-1.4428232973175175e-12,,,,,,,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.0,2.0,,,,,,,1.0,1.0,-1.0,-1.0,,0.0,1dcb3c744ddd55658248ce3c7196418c,6.0,20.0,0.15555555555555556,3.4000000000000004,0.24,0.9709505944546686,0.0,-4.0,0.0,0.0,6.0,4.0,0.0,0.49333333333333335,0.47368421052631576,12.0,2.0,3.0,0.0,,,,,,,-0.09595959595959595,0.01830255814488604,0.06944444444444443,0.03848785864049345,0.31216117216117206,0.04130231146382196,2.0433411346815583e-16,0.45155056254610837,-1.3716826053972344,-1.1156383087298698,,,,,,,3.4556796376572203,1.249333576656451,2.6751308705666466,1.5391888728108893,,2.2063460610007692,2.499999375000156,10.99999450000275,1.4666622666798668,4.3999956000044005,240000.0,970950.5944546686,0.0,0.0,0.0,0.0,6000000.0,4000000.0,0.0,493333.3333333334,473684.2105263158,12000000.0,2000000.0,3.9999960000040002,-1.4428253790595884e-06,,,,,,,0.42423987880315145,18302.558144886043,69444.44444444444,38487.858640493454,1.9364777070503953,41302.31146382196,2.0433411346815584e-10,451550.5625461084,0.3141585402221127,0.44218062454475277,,,,,,,4.455675181982039,2.249331327325124,-1.6751325456991926,-0.5391894120003013,,2206346.0610007695
25,0,10,22,0.4888888888888889,4.4,5,4,0.24,0.9709505944546686,0,0,0,0,6,4,0,0.49333333333333335,0.47368421052631576,12,3,4,4.0,-1.4428232973175175e-12,0.9000000000000004,1.0,2.0,3,1.42,-0.09999999999999391,0.07171717171717172,0.018956782141428142,0.07222222222222222,0.0392878019059456,0.6369230769230769,0.0452213490975356,-2.242339943746924e-16,0.43155264881815264,0.6606456094748324,0.8959146829634643,1.1000000000000003,1.2499999999999998,1.2500000000000002,1.4000000000000001,1.422532668218382,1.5893543905251675,4.449489742783176,2.3429230827771708,1.5615528128088296,0.47068341987116064,-0.4494897427831781,2.1065666600060053,b6eced65903f93009acc43446002d4ed,4,2,0.3333333333333333,1.0,1,1,0.0,-0.0,0,4,0,0,0,0,0,0.0,0,0,0,1,1.0,-1.4428232973175175e-12,,,,,,,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.0,2.0,,,,,,,1.0,1.0,-1.0,-1.0,,0.0,1dcb3c744ddd55658248ce3c7196418c,6.0,20.0,0.15555555555555556,3.4000000000000004,0.24,0.9709505944546686,0.0,-4.0,0.0,0.0,6.0,4.0,0.0,0.49333333333333335,0.47368421052631576,12.0,3.0,3.0,0.0,,,,,,,-0.09494949494949494,0.018956782141428142,0.07222222222222222,0.0392878019059456,0.3035897435897436,0.0452213490975356,-2.242339943746924e-16,0.43155264881815264,-1.3393543905251675,-1.1040853170365357,,,,,,,3.449489742783176,1.3429230827771708,2.56155281280883,1.4706834198711607,,2.1065666600060053,2.499999375000156,10.99999450000275,1.4666622666798668,4.3999956000044005,240000.0,970950.5944546686,0.0,0.0,0.0,0.0,6000000.0,4000000.0,0.0,493333.3333333334,473684.2105263158,12000000.0,3000000.0,3.9999960000040002,-1.4428253790595884e-06,,,,,,,0.4303004485003393,18956.782141428142,72222.22222222222,39287.801905945606,1.9107634984787356,45221.3490975356,-2.2423399437469242e-10,431552.64881815267,0.3303226395760964,0.4479571175031734,,,,,,,4.449485293297883,2.342920739856431,-1.561554374363204,-0.4706838905550512,,2106566.6600060053
26,0,10,24,0.5333333333333333,4.8,7,4,1.36,1.3709505944546687,0,0,0,0,6,2,2,0.5666666666666667,0.4897959183673469,16,4,4,4.0,-1.4428232973175175e-12,0.9000000000000004,1.0,2.0,2,1.32,-0.4058577405857754,0.061111111111111116,0.016905017206949573,0.05833333333333333,0.0706287896393951,0.6878121878121879,0.0679401476067185,1.526358924900276e-16,0.5353232411429535,0.7110188255215952,0.8984182582062584,1.0729755875116984,1.09811449851032,1.3515817417937417,1.4097039721060478,1.4408666759680873,1.481997199239301,4.9942132865424576,1.9448884307676666,1.246979603717466,0.6180339887498945,-0.2984219860452185,3.049324855774791,aac8b0d16fc5b6cc2ee54249c1e16f3c,4,2,0.3333333333333333,1.0,1,1,0.0,-0.0,0,4,0,0,0,0,0,0.0,0,0,0,1,1.0,-1.4428232973175175e-12,,,,,,,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,2.0,2.0,,,,,,,1.0,1.0,-1.0,-1.0,,0.0,1dcb3c744ddd55658248ce3c7196418c,6.0,22.0,0.2,3.8,1.36,1.3709505944546687,0.0,-4.0,0.0,0.0,6.0,2.0,2.0,0.5666666666666667,0.4897959183673469,16.0,4.0,3.0,0.0,,,,,,,-0.10555555555555554,0.016905017206949573,0.05833333333333333,0.0706287896393951,0.3544788544788546,0.0679401476067185,1.526358924900276e-16,0.5353232411429535,-1.2889811744784048,-1.1015817417937415,,,,,,,3.9942132865424576,0.9448884307676666,2.246979603717466,1.6180339887498945,,3.049324855774791,2.499999375000156,11.999994000003,1.5999952000144002,4.7999952000048,1360000.0000000002,1370950.5944546687,0.0,0.0,0.0,0.0,6000000.0,2000000.0,2000000.0,566666.6666666666,489795.9183673469,16000000.0,4000000.0,3.9999960000040002,-1.4428253790595884e-06,,,,,,,0.36666446667986663,16905.017206949575,58333.33333333333,70628.78963939511,2.0634303731454446,67940.1476067185,1.526358924900276e-10,535323.2411429535,0.3555092350061801,0.44920890449867695,,,,,,,4.994208292334165,1.944886485881181,-1.2469808506983169,-0.6180346067845013,,3049324.855774791
27,0,10,22,0.4888888888888889,4.4,6,4,0.6399999999999999,0.7219280948873623,0,0,0,0,8,0,2,0.5000000000000001,0.46153846153846156,12,2,4,4.0,-1.4428232973175175e-12,0.9000000000000004,1.0,2.0,2,1.36,-0.3749999999999978,0.06868686868686867,0.021559340866777268,0.06388888888888888,0.06135962377129835,0.6642857142857144,0.04285714285714284,-8.54971427005182e-18,0.48795122023249304,0.6300871605023135,0.8694867509201003,1.0844877245119746,1.1517230878722136,1.3762414049495253,1.3973860652632304,1.4724615957558462,1.5301749899923012,4.507256188295439,2.0806992564370983,1.6180339887498951,0.618033988749894,-0.33866823631666626,2.4265569318583404,efc03e89a7b06435112427f985cd35c5,2,1,1.0,1.0,1,1,0.0,-0.0,0,2,0,0,0,0,0,0.0,0,0,0,1,1.0,-1.4428232973175175e-12,0.0,0.5,1.0,1,0.5,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,1.0,-1.0,,,,2.0,3ba4ffe16dfe637510ed1c3676ec6cb0,8.0,21.0,-0.5111111111111111,3.4000000000000004,0.6399999999999999,0.7219280948873623,0.0,-2.0,0.0,0.0,8.0,0.0,2.0,0.5000000000000001,0.46153846153846156,12.0,2.0,3.0,0.0,0.9000000000000004,0.5,1.0,1.0,0.8600000000000001,,-0.9313131313131313,0.021559340866777268,0.06388888888888888,0.06135962377129835,-0.33571428571428563,0.04285714285714284,-8.54971427005182e-18,-1.512048779767507,,,,,,,,,3.5072561882954387,3.0806992564370983,,,,0.4265569318583404,4.99999750000125,21.999978000022,0.4888884000004889,4.3999956000044005,639999.9999999999,721928.0948873623,0.0,0.0,0.0,0.0,8000000.0,0.0,2000000.0,500000.0000000001,461538.46153846156,12000000.0,2000000.0,3.9999960000040002,-1.4428253790595884e-06,900000.0000000003,1.999996000008,1.9999980000020001,1.9999980000020001,2.71999456001088,,0.06868680000006867,21559.340866777267,63888.88888888888,61359.62377129835,0.6642850500006644,42857.14285714284,-8.54971427005182e-12,0.24397548812850245,,,,,,,,,4.507251681043758,-2.0807013371384353,,,,1.2132778592902405
