Motif_4_cliques,Motif_4_cliques_per_Cn4,Motif_4_cycles,Motif_4_cycles_per_Cn4,Motif_induced_connected_per_4set,Motif_square_clustering_proxy,Motif_triangle_edge_frac_ge2,Motif_triangle_edge_frac_zero,Motif_triangle_edge_incidence_mean,Motif_triangle_edge_incidence_median,Motif_triangle_edge_incidence_q90,Motif_triangle_edge_incidence_std,Motif_triangles,Motif_triangles_per_Cn3,Motif_wedges,Motif_wedges_per_max,Motif_5_cliques,Motif_5_cliques_per_Cn5,Motif_5_cycles,Motif_5_cycles_per_Cn5,Motif_5_cycles_per_Kn,Motif_induced5_g_0_5,Motif_induced5_g_0_5_per_Cn5,Motif_induced5_g_10_5,Motif_induced5_g_10_5_per_Cn5,Motif_induced5_g_11_5,Motif_induced5_g_11_5_per_Cn5,Motif_induced5_g_12_5,Motif_induced5_g_12_5_per_Cn5,Motif_induced5_g_13_5,Motif_induced5_g_13_5_per_Cn5,Motif_induced5_g_14_5,Motif_induced5_g_14_5_per_Cn5,Motif_induced5_g_15_5,Motif_induced5_g_15_5_per_Cn5,Motif_induced5_g_16_5,Motif_induced5_g_16_5_per_Cn5,Motif_induced5_g_17_5,Motif_induced5_g_17_5_per_Cn5,Motif_induced5_g_18_5,Motif_induced5_g_18_5_per_Cn5,Motif_induced5_g_1_5,Motif_induced5_g_1_5_per_Cn5,Motif_induced5_g_20_5,Motif_induced5_g_20_5_per_Cn5,Motif_induced5_g_2_5,Motif_induced5_g_2_5_per_Cn5,Motif_induced5_g_3_5,Motif_induced5_g_3_5_per_Cn5,Motif_induced5_g_4_5,Motif_induced5_g_4_5_per_Cn5,Motif_induced5_g_5_5,Motif_induced5_g_5_5_per_Cn5,Motif_induced5_g_6_5,Motif_induced5_g_6_5_per_Cn5,Motif_induced5_g_7_5,Motif_induced5_g_7_5_per_Cn5,Motif_induced5_g_8_5,Motif_induced5_g_8_5_per_Cn5,Motif_induced5_g_9_5,Motif_induced5_g_9_5_per_Cn5,Motif_induced_connected_per_5set,Motif_induced_g_1_4,Motif_induced_g_1_4_per_Cn4,Motif_induced_g_2_4,Motif_induced_g_2_4_per_Cn4,Motif_induced_g_3_4,Motif_induced_g_3_4_per_Cn4,Motif_induced_g_4_4,Motif_induced_g_4_4_per_Cn4,Motif_induced_g_5_4,Motif_induced_g_5_4_per_Cn4,Motif_induced_g_6_4,Motif_induced_g_6_4_per_Cn4,sample_index
0.0,0.0,-0.17495604,0.0,0.0,0.0,0.0,0.09746549,0.0,0.0,0.0,0.0015791198,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011480547,0.0,0.0,0.0,0.0,0.0,0.0,-0.014404792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030349832,0.0,0.0,0.0,0.0,0.0,0.035053257,0.0,0.04792357,0.0,0.0,0.0,0.111517176,0.0,0.0,0.0,0.029223384,0.0,-0.026291903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,0.060385052,-0.36703587,0.0,0.045742515,0.0,0.09573728,0.0,1.4074438,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.046726346,0.0,0.0,0.0,0.0,0.14209048,0.0,0.0,0.0,0.0015791198,0.0,0.0,0.0,0.0,0.0,0.0,-0.00079537235,0.0,0.0,0.0,0.0,0.0,0.0,-0.041606538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04442253,0.0,0.0,0.0,0.0,0.0,0.13721927,0.0,-0.01247136,0.0,0.0,0.0,0.1167866,0.0,0.0,0.0,-0.0060744695,0.0,-0.014003553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021419688,0.0,0.009929914,-0.41679794,0.0,0.092878565,0.0,0.17786041,0.0,-0.20831998,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,-0.17692202,0.0,0.0,0.0,0.0,0.12093518,0.0,0.0,0.0,0.000932639,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011480547,0.0,0.0,0.0,0.0,0.0,0.0,-0.0052551804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106031716,0.0,0.0,0.0,0.0,0.0,0.057044916,0.0,-0.004507651,0.0,0.0,0.0,-0.29347074,0.0,0.0,0.0,-0.00935499,0.0,-0.04212607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,-0.1752521,-0.20155549,0.0,-0.0148417,0.0,-0.086844616,0.0,1.5670118,0.0,0.0,0.0,0.0,0.0,2
0.0,0.0,-0.17431676,0.0,0.0,0.0,0.0,0.09183763,0.0,0.0,0.0,0.0015791198,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032860572,0.0,0.0,0.0,0.0,0.0,0.0,-0.03362225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030349832,0.0,0.0,0.0,0.0,0.0,0.035053257,0.0,0.04792357,0.0,0.0,0.0,0.10954198,0.0,0.0,0.0,0.01663058,0.0,0.04561744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009377207,0.0,0.060385052,-0.38330814,0.0,-0.013871196,0.0,0.08835407,0.0,1.1696038,0.0,0.0,0.0,0.0,0.0,3
0.0,0.0,0.038664334,0.0,0.0,0.0,0.0,0.0957452,0.0,0.0,0.0,0.0015791198,0.0,0.0,0.0,0.0,0.0,0.0,0.00036929472,0.0,0.0,0.0,0.0,0.0,0.0,0.053867072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010855915,0.0,0.0,0.0,0.0,0.0,0.057044916,0.0,0.003940241,0.0,0.0,0.0,0.15115917,0.0,0.0,0.0,-0.0044623213,0.0,0.05616389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,0.060385052,-0.38330814,0.0,-0.013871196,0.0,0.12624827,0.0,1.048508,0.0,0.0,0.0,0.0,0.0,4
0.0,0.0,0.07461226,0.0,0.0,0.0,0.0,0.16343768,0.0,0.0,0.0,0.0044053094,0.0,0.0,0.0,0.0,0.0,0.0,-0.00079537235,0.0,0.0,0.0,0.0,0.0,0.0,0.08389293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04442253,0.0,0.0,0.0,0.0,0.0,0.1446239,0.0,-0.01339224,0.0,0.0,0.0,0.2299526,0.0,0.0,0.0,-0.022954658,0.0,-0.097772434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007768915,0.0,-0.029614357,0.26175907,0.0,-0.0017105532,0.0,0.12474226,0.0,-0.26775113,0.0,0.0,0.0,0.0,0.0,5
0.0,0.0,-0.17692202,0.0,0.0,0.0,0.0,0.08296112,0.0,0.0,0.0,0.000932639,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011480547,0.0,0.0,0.0,0.0,0.0,0.0,0.019802526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035119716,0.0,0.0,0.0,0.0,0.0,0.057044916,0.0,-0.004507651,0.0,0.0,0.0,-0.28137505,0.0,0.0,0.0,0.029223384,0.0,-0.031359397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,-0.1752521,-0.23057157,0.0,-0.0148417,0.0,0.045081962,0.0,1.5493764,0.0,0.0,0.0,0.0,0.0,6
0.0,0.0,-0.025437944,0.0,0.0,0.0,0.0,0.13346103,0.0,0.0,0.0,0.0015791198,0.0,0.0,0.0,0.0,0.0,0.0,-0.00079537235,0.0,0.0,0.0,0.0,0.0,0.0,0.0825913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013074565,0.0,0.0,0.0,0.0,0.0,0.13721927,0.0,-0.026788477,0.0,0.0,0.0,0.17816085,0.0,0.0,0.0,-0.0044623213,0.0,0.09442208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021419688,0.0,0.008792735,-0.44018573,0.0,-0.014717071,0.0,0.12550746,0.0,-0.23152457,0.0,0.0,0.0,0.0,0.0,7
0.0,0.0,-0.17603995,0.0,0.0,0.0,0.0,0.12388107,0.0,0.0,0.0,0.0016817559,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011480547,0.0,0.0,0.0,0.0,0.0,0.0,-0.025467131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1356052,0.0,0.0,0.0,0.0,0.0,0.059114013,0.0,0.003940241,0.0,0.0,0.0,-0.50828093,0.0,0.0,0.0,-0.00178293,0.0,0.056380175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,0.060385052,0.13128415,0.0,-0.004424822,0.0,-0.086844616,0.0,1.5951862,0.0,0.0,0.0,0.0,0.0,8
0.0,0.0,-0.17603995,0.0,0.0,0.0,0.0,0.08715935,0.0,0.0,0.0,0.0015791198,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011480547,0.0,0.0,0.0,0.0,0.0,0.0,0.033928383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010855915,0.0,0.0,0.0,0.0,0.0,-0.18151668,0.0,-0.014787853,0.0,0.0,0.0,0.15071434,0.0,0.0,0.0,0.01663058,0.0,0.047321506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,0.060385052,-0.3773202,0.0,-0.013871196,0.0,0.0503435,0.0,1.6609001,0.0,0.0,0.0,0.0,0.0,9
0.0,0.0,0.062407486,0.0,0.0,0.0,0.0,0.15088573,0.0,0.0,0.0,0.0044053094,0.0,0.0,0.0,0.0,0.0,0.0,-0.00079537235,0.0,0.0,0.0,0.0,0.0,0.0,-0.048348933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011756756,0.0,0.0,0.0,0.0,0.0,-0.20590827,0.0,0.3250872,0.0,0.0,0.0,0.27739602,0.0,0.0,0.0,-0.006671647,0.0,-0.0058876313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085933935,0.0,-0.029614357,0.26039618,0.0,-0.008883752,0.0,0.08518455,0.0,-0.2510047,0.0,0.0,0.0,0.0,0.0,10
0.0,0.0,0.11612601,0.0,0.0,0.0,0.0,0.15399559,0.0,0.0,0.0,0.0044053094,0.0,0.0,0.0,0.0,0.0,0.0,0.023081,0.0,0.0,0.0,0.0,0.0,0.0,0.05504486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01219481,0.0,0.0,0.0,0.0,0.0,0.06480342,0.0,0.059505504,0.0,0.0,0.0,0.22991657,0.0,0.0,0.0,0.12721707,0.0,-0.051771626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007768915,0.0,-0.029614357,0.16613267,0.0,0.07952971,0.0,0.16496563,0.0,-0.624052,0.0,0.0,0.0,0.0,0.0,11
0.0,0.0,0.0016046856,0.0,0.0,0.0,0.0,0.17596188,0.0,0.0,0.0,0.0044053094,0.0,0.0,0.0,0.0,0.0,0.0,-0.00079537235,0.0,0.0,0.0,0.0,0.0,0.0,0.06081128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013074565,0.0,0.0,0.0,0.0,0.0,-0.20590827,0.0,0.32600808,0.0,0.0,0.0,0.29088205,0.0,0.0,0.0,-0.005059499,0.0,0.12227568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021419688,0.0,0.009929914,0.26427418,0.0,-0.005270698,0.0,-0.17941572,0.0,-0.35294566,0.0,0.0,0.0,0.0,0.0,12
0.0,0.0,-0.17692202,0.0,0.0,0.0,0.0,0.1286623,0.0,0.0,0.0,0.0016817559,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011480547,0.0,0.0,0.0,0.0,0.0,0.0,-0.036110073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045895025,0.0,0.0,0.0,0.0,0.0,0.059114013,0.0,-0.004507651,0.0,0.0,0.0,-0.47649553,0.0,0.0,0.0,0.02345123,0.0,-0.019598994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,-0.1752521,0.14646095,0.0,-0.0053953268,0.0,-0.086844616,0.0,1.6148989,0.0,0.0,0.0,0.0,0.0,13
0.0,0.0,-0.026320007,0.0,0.0,0.0,0.0,0.14285567,0.0,0.0,0.0,0.0015791198,0.0,0.0,0.0,0.0,0.0,0.0,-0.00079537235,0.0,0.0,0.0,0.0,0.0,0.0,-0.05921554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04442253,0.0,0.0,0.0,0.0,0.0,0.13721927,0.0,-0.01339224,0.0,0.0,0.0,0.115256235,0.0,0.0,0.0,0.029223384,0.0,-0.054565277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021419688,0.0,-0.029614357,-0.43045697,0.0,-0.018330125,0.0,0.107842304,0.0,-0.23078452,0.0,0.0,0.0,0.0,0.0,14
0.0,0.0,0.19373341,0.0,0.0,0.0,0.0,-0.44533917,0.0,0.0,0.0,0.0044053094,0.0,0.0,0.0,0.0,0.0,0.0,-0.011811335,0.0,0.0,0.0,0.0,0.0,0.0,-0.048348933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010115268,0.0,0.0,0.0,0.0,0.0,0.13061517,0.0,-0.01247136,0.0,0.0,0.0,0.17277496,0.0,0.0,0.0,0.082772054,0.0,-0.03967593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007768915,0.0,0.009929914,0.12092276,0.0,-0.007686536,0.0,0.14993583,0.0,-0.7612361,0.0,0.0,0.0,0.0,0.0,15
0.0,0.0,0.07549433,0.0,0.0,0.0,0.0,0.15480821,0.0,0.0,0.0,0.0044053094,0.0,0.0,0.0,0.0,0.0,0.0,-0.00079537235,0.0,0.0,0.0,0.0,0.0,0.0,0.0825913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013074565,0.0,0.0,0.0,0.0,0.0,0.1446239,0.0,-0.026788477,0.0,0.0,0.0,0.29132688,0.0,0.0,0.0,-0.005059499,0.0,0.17389466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007768915,0.0,0.008792735,0.27327177,0.0,-0.005270698,0.0,0.08461294,0.0,-0.26057127,0.0,0.0,0.0,0.0,0.0,16
0.0,0.0,-0.17692202,0.0,0.0,0.0,0.0,0.12859742,0.0,0.0,0.0,0.0016817559,0.0,0.0,0.0,0.0,0.0,0.0,-0.001803923,0.0,0.0,0.0,0.0,0.0,0.0,-0.025467131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1356052,0.0,0.0,0.0,0.0,0.0,-0.18796541,0.0,-0.014787853,0.0,0.0,0.0,-0.50828093,0.0,0.0,0.0,-0.0066755987,0.0,-0.043441124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,0.060385052,0.123272315,0.0,-0.0053953268,0.0,-0.086844616,0.0,1.9715115,0.0,0.0,0.0,0.0,0.0,17
0.0,0.0,-0.017250651,0.0,0.0,0.0,0.0,0.18480146,0.0,0.0,0.0,0.0044053094,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014512407,0.0,0.0,0.0,0.0,0.0,0.0,-0.0450454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013074565,0.0,0.0,0.0,0.0,0.0,-0.45966417,0.0,-0.08138694,0.0,0.0,0.0,0.29088205,0.0,0.0,0.0,-0.006671647,0.0,-0.018622275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02369286,0.0,-0.029614357,0.2559559,0.0,-0.008883752,0.0,-0.15982908,0.0,-0.35739434,0.0,0.0,0.0,0.0,0.0,18
0.0,0.0,0.053340584,0.0,0.0,0.0,0.0,0.14818963,0.0,0.0,0.0,0.0016817559,0.0,0.0,0.0,0.0,0.0,0.0,0.00036929472,0.0,0.0,0.0,0.0,0.0,0.0,0.044606637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23593466,0.0,0.0,0.0,0.0,0.0,0.12389381,0.0,-0.00061732647,0.0,0.0,0.0,-0.42307752,0.0,0.0,0.0,-0.0033950778,0.0,-0.025417022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,0.024449533,0.14990517,0.0,-0.0053953268,0.0,-0.1790559,0.0,0.2203828,0.0,0.0,0.0,0.0,0.0,19
0.0,0.0,-0.17603995,0.0,0.0,0.0,0.0,0.12388107,0.0,0.0,0.0,0.0016817559,0.0,0.0,0.0,0.0,0.0,0.0,-0.001803923,0.0,0.0,0.0,0.0,0.0,0.0,-0.025467131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1356052,0.0,0.0,0.0,0.0,0.0,0.059114013,0.0,0.003940241,0.0,0.0,0.0,-0.50828093,0.0,0.0,0.0,-0.00178293,0.0,0.056380175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,0.060385052,0.12684387,0.0,-0.004424822,0.0,-0.086844616,0.0,1.6002823,0.0,0.0,0.0,0.0,0.0,20
0.0,0.0,-0.34735537,0.0,0.0,0.0,0.0,0.13020852,0.0,0.0,0.0,0.0015791198,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032860572,0.0,0.0,0.0,0.0,0.0,0.0,-0.03481078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04442253,0.0,0.0,0.0,0.0,0.0,0.120133534,0.0,-0.00061732647,0.0,0.0,0.0,0.12951215,0.0,0.0,0.0,-0.0044623213,0.0,0.043429237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,0.024449533,-0.38986075,0.0,-0.013871196,0.0,-0.15809453,0.0,0.08019123,0.0,0.0,0.0,0.0,0.0,21
0.0,0.0,0.045642428,0.0,0.0,0.0,0.0,0.1578098,0.0,0.0,0.0,0.0044053094,0.0,0.0,0.0,0.0,0.0,0.0,-0.00079537235,0.0,0.0,0.0,0.0,0.0,0.0,-0.05921554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04442253,0.0,0.0,0.0,0.0,0.0,0.1446239,0.0,-0.01247136,0.0,0.0,0.0,0.20299774,0.0,0.0,0.0,-0.00178293,0.0,0.10313309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021419688,0.0,0.009929914,0.27327177,0.0,-0.005270698,0.0,0.08518455,0.0,-0.13173161,0.0,0.0,0.0,0.0,0.0,22
0.0,0.0,0.0016046856,0.0,0.0,0.0,0.0,0.12338375,0.0,0.0,0.0,0.0016817559,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014512407,0.0,0.0,0.0,0.0,0.0,0.0,0.04804662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.067184046,0.0,0.0,0.0,0.0,0.0,-0.45966417,0.0,-0.08046606,0.0,0.0,0.0,-0.7069466,0.0,0.0,0.0,-0.005059499,0.0,0.2680358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021419688,0.0,0.009929914,0.16155687,0.0,-0.005270698,0.0,-0.11343444,0.0,-0.53117913,0.0,0.0,0.0,0.0,0.0,23
0.0,0.0,-0.0696734,0.0,0.0,0.0,0.0,-0.5648678,0.0,0.0,0.0,0.0044053094,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034846324,0.0,0.0,0.0,0.0,0.0,0.0,-0.03287717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010115268,0.0,0.0,0.0,0.0,0.0,-0.4147396,0.0,-0.08138694,0.0,0.0,0.0,0.15827242,0.0,0.0,0.0,-0.029945273,0.0,-0.042700205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021419688,0.0,-0.029614357,0.14616695,0.0,-0.007686536,0.0,-0.2729936,0.0,-0.95963365,0.0,0.0,0.0,0.0,0.0,24
0.0,0.0,0.0016046856,0.0,0.0,0.0,0.0,0.17596188,0.0,0.0,0.0,0.0044053094,0.0,0.0,0.0,0.0,0.0,0.0,-0.00079537235,0.0,0.0,0.0,0.0,0.0,0.0,0.06081128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013074565,0.0,0.0,0.0,0.0,0.0,-0.20590827,0.0,0.32600808,0.0,0.0,0.0,0.29088205,0.0,0.0,0.0,0.02775134,0.0,0.08829336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021419688,0.0,0.009929914,0.26427418,0.0,-0.005270698,0.0,-0.17941572,0.0,-0.3517742,0.0,0.0,0.0,0.0,0.0,25
0.0,0.0,-0.028100744,0.0,0.0,0.0,0.0,0.14014612,0.0,0.0,0.0,0.0044053094,0.0,0.0,0.0,0.0,0.0,0.0,-0.011811335,0.0,0.0,0.0,0.0,0.0,0.0,-0.060517162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01219481,0.0,0.0,0.0,0.0,0.0,-0.20590827,0.0,0.3250872,0.0,0.0,0.0,0.22991657,0.0,0.0,0.0,-0.09916724,0.0,-0.11176495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021419688,0.0,-0.029614357,0.13490596,0.0,-0.0032120636,0.0,0.18291017,0.0,-0.8472429,0.0,0.0,0.0,0.0,0.0,26
0.0,0.0,-0.17692202,0.0,0.0,0.0,0.0,0.12859742,0.0,0.0,0.0,0.0016817559,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011480547,0.0,0.0,0.0,0.0,0.0,0.0,-0.0052551804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106031716,0.0,0.0,0.0,0.0,0.0,-0.18796541,0.0,-0.014787853,0.0,0.0,0.0,-0.4989194,0.0,0.0,0.0,-0.0066755987,0.0,-0.043441124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,0.060385052,0.12771259,0.0,-0.0053953268,0.0,-0.086844616,0.0,1.9664154,0.0,0.0,0.0,0.0,0.0,27
0.0,0.0,-0.34735537,0.0,0.0,0.0,0.0,0.094457775,0.0,0.0,0.0,0.0016817559,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032860572,0.0,0.0,0.0,0.0,0.0,0.0,0.033963695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.067184046,0.0,0.0,0.0,0.0,0.0,-0.39676976,0.0,-0.1352866,0.0,0.0,0.0,-0.60579455,0.0,0.0,0.0,-0.00178293,0.0,0.045769107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008477526,0.0,0.014015996,0.1459266,0.0,-0.004424822,0.0,-0.1790559,0.0,0.0019523993,0.0,0.0,0.0,0.0,0.0,28
